ArtistName,TheTracks
Iron Maiden,213
U2,135
Led Zeppelin,114
Metallica,112
Lost,92
Deep Purple,92
Pearl Jam,67
Lenny Kravitz,57
Various Artists,56
The Office,53
Van Halen,52
Faith No More,52
Os Paralamas Do Sucesso,49
Red Hot Chili Peppers,48
Eric Clapton,48
Queen,45
Foo Fighters,44
Guns N' Roses,42
The Rolling Stones,41
R.E.M.,41
